Name	GC-MF-9021-P-WCL-R1	GC-MF-9021-P-NUC-R1	GC-MF-9021-P-CYT-R1	GC-MF-9021-P-MEB-R1	GC-MF-9021-P-WCL-R2	GC-MF-9021-P-NUC-R2	GC-MF-9021-P-CYT-R2	GC-MF-9021-P-MEB-R2	GC-MF-9021-CA-WCL-R1	GC-MF-9021-CA-NUC-R1	GC-MF-9021-CA-CYT-R1	GC-MF-9021-CA-MEB-R1	GC-MF-9021-CA-WCL-R2	GC-MF-9021-CA-NUC-R2	GC-MF-9021-CA-CYT-R2	GC-MF-9021-CA-MEB-R2	
ENST00000459236.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000363010.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516342.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410214.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000620756.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516078.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410497.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517229.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384018.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000618561.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516189.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365662.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516516.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000383938.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000637295.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000615686.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384526.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365199.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391038.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384531.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410660.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516811.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362865.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
